Region,RowLabel,ColLabel,Value
"EastAsia","unSkLab","Util_Cons-a",6.4650134E+5
"EastAsia","unSkLab","TransComm-a",8.6614275E+5
"EastAsia","unSkLab","OthServices-a",9.1585268E+5
"EastAsia","SkLab","Agriculture-a",2.3521246E+4
"EastAsia","SkLab","Extraction-a",1.4040021E+4
"EastAsia","SkLab","ProcFood-a",3.0766880E+4
"EastAsia","SkLab","TextWapp-a",2.7727738E+4
"EastAsia","SkLab","LightMnfc-a",1.0938681E+5
"EastAsia","SkLab","HeavyMnfc-a",2.1742088E+5
"EastAsia","SkLab","Util_Cons-a",1.1931385E+5
"EastAsia","SkLab","TransComm-a",3.7110235E+5
"EastAsia","SkLab","OthServices-a",1.1413487E+6
"EastAsia","NatRes","Extraction-a",1.5019249E+5
"EastAsia","itax","Agriculture-a",7.7139807E+3
"EastAsia","itax","Extraction-a",2.1689665E+4
"EastAsia","itax","ProcFood-a",3.7212921E+4
"EastAsia","itax","TextWapp-a",3.4974998E+4
"EastAsia","itax","LightMnfc-a",1.1324275E+5
"EastAsia","itax","HeavyMnfc-a",3.9965931E+5
"EastAsia","itax","Util_Cons-a",1.1886192E+5
"EastAsia","itax","TransComm-a",1.0957077E+5
"EastAsia","itax","OthServices-a",1.2548751E+5
"EastAsia","itax","hhd",5.9369983E+5
"EastAsia","itax","gov",9.0838320E+3
"EastAsia","itax","inv",2.3945282E+5
"EastAsia","mtax","Agriculture-a",2.4619356E+4
"EastAsia","mtax","Extraction-a",3.6971316E+3
"EastAsia","mtax","ProcFood-a",9.7815987E+3
"EastAsia","mtax","TextWapp-a",5.9882079E+3
"EastAsia","mtax","LightMnfc-a",2.8763738E+4
"EastAsia","mtax","HeavyMnfc-a",4.0449075E+4
"EastAsia","mtax","Util_Cons-a",3.910944035
"EastAsia","vtax","Agriculture-a",-1.015223E+4
"EastAsia","vtax","Extraction-a",1.3612281E+4
"EastAsia","vtax","ProcFood-a",1.9890437E+4
"EastAsia","vtax","TextWapp-a",9.4822581E+3
"EastAsia","vtax","LightMnfc-a",6.8176832E+4
"EastAsia","vtax","HeavyMnfc-a",1.3722859E+5
"EastAsia","vtax","Util_Cons-a",1.0508764E+5
"EastAsia","vtax","TransComm-a",2.5545059E+5
"EastAsia","vtax","OthServices-a",4.3761982E+5
"EastAsia","RoW","Agriculture-a",1.5133295E+5
"EastAsia","RoW","Extraction-a",8.6598222E+5
"EastAsia","RoW","ProcFood-a",1.0650999E+5
"EastAsia","RoW","TextWapp-a",9.6943616E+4
"EastAsia","RoW","LightMnfc-a",4.4640197E+5
"EastAsia","RoW","HeavyMnfc-a",1.8575652E+6
"EastAsia","RoW","Util_Cons-a",3.1327529E+4
"EastAsia","RoW","TransComm-a",3.1919550E+5
"EastAsia","RoW","OthServices-a",2.6763959E+5
"SEAsia","GrainsCrops-c","Agriculture-a",7.3498767E+4
"SEAsia","GrainsCrops-c","Extraction-a",5.0633069E+2
"SEAsia","GrainsCrops-c","ProcFood-a",6.3551031E+4
"SEAsia","GrainsCrops-c","TextWapp-a",3.2687824E+3
"SEAsia","GrainsCrops-c","LightMnfc-a",1.9778550E+3
"SEAsia","GrainsCrops-c","HeavyMnfc-a",4.2937125E+3
"SEAsia","GrainsCrops-c","Util_Cons-a",1.5369344E+2
"SEAsia","GrainsCrops-c","TransComm-a",1.1302849E+4
"SEAsia","GrainsCrops-c","OthServices-a",4.3691584E+3
"SEAsia","GrainsCrops-c","hhd",8.8081956E+4
"SEAsia","GrainsCrops-c","gov",3.8336672E+2
"SEAsia","GrainsCrops-c","inv",2.2324700E+3
"SEAsia","MeatLstk-c","Agriculture-a",2.7501679E+4
"SEAsia","MeatLstk-c","Extraction-a",1.6005901E+2
"SEAsia","MeatLstk-c","ProcFood-a",5.8637435E+3
"SEAsia","MeatLstk-c","TextWapp-a",7.9615284E+2
"SEAsia","MeatLstk-c","LightMnfc-a",3.2648639E+3
"SEAsia","MeatLstk-c","HeavyMnfc-a",4.7587042E+2
